prd_id,prd_name,gr_prd_id,category_id,brand_id,price,cost_price,wholesale_price,stock_quantity,unit,image_url,weight
HL00239,Tép lạnh chay rẻ,TEP0001,CAT0002,,,,,,,,
HL00240,Rau tiến vua,RTVUA01,CAT0002,,,,,,,,
HL00241,Rau tiến vua loại 1,RTVUA01,CAT0002,,,,,,,,
HL00242,dồi trường chay trí huệ,DOIT001,CAT0002,,,,,,,,
HL00243,Dồi sả chay 500g,DOIT001,CAT0002,,,,,,,,
HL00244,Sò điệp Âu Lạc 200g,,CAT0002,BR0002,,,,,,,
HL00245,Dưa mắm,,CAT0002,,,,,,,,
HL00246,Lạp xưởng,,CAT0002,,,,,,,,
HL00247,Mắm thái chay như ý,,CAT0002,,,,,,,,
HL00248,Gân chay trí huệ 220g,,CAT0002,,,,,,,,
HL00249,Bào ngư nhật thanh dũng 500g,,CAT0002,BR0003,,,,,,,
HL00250,Bao tử chay an lạc 160g,,CAT0002,,,,,,,,
HL00251,Bì chay trí huệ,,CAT0002,,,,,,,,
HL00252,RIêu cua âu lạc 500g,,CAT0002,BR0002,,,,,,,
HL00253,Bò hầm chay âu lạc,,CAT0002,BR0002,,,,,,,
GV00001,Sốt tom yum thái lan,,CAT0003,,,,,,,,
GV00002,Sốt thái chua ngọt cay,,CAT0003,,,,,,,,
GV00003,Sốt mayonnaise chay Âu Lạc,SMAYO01,CAT0003,BR0002,,,,,,,
GV00004,Sốt MAYONNAISE 220g cay,SMAYO01,CAT0003,,,,,,,,
GV00005,Mắm thanh dũng 1000ml,MAM0001,CAT0003,BR0003,,,,,,,
GV00006,Mắm trái thơm 5 lít,MAM0001,CAT0003,,,,,,,,
GV00007,Mắm Chay Linh Chi 500ml,MAM0001,CAT0003,,,,,,,,
GV00008,Mắm Chay Linh Chi 1000ml,MAM0001,CAT0003,,,,,,,,
GV00009,Mắm tư hoa,MAM0001,CAT0003,,,,,,,,
GV00010,Mắm trái thơm 1000ml,MAM0001,CAT0003,,,,,,,,
GV00011,Kho quẹt chay,,CAT0003,,,,,,,,
GV00012,Mắm ruốc ngon,,CAT0003,,,,,,,,
GV00013,Mắm nêm chay,,CAT0003,,,,,,,,
GV00014,chao môn đại,CHAO001,CAT0003,,,,,,,,
GV00015,chao môn trung,CHAO001,CAT0003,,,,,,,,
GV00016,Ớt sa tế 200g,,CAT0003,,,,,,,,
GV00017,Tương ớt không tỏi âu lạc 450g,TUONG01,CAT0003,BR0002,,,,,,,
GV00018,Tương ớt can 5L âu lạc,TUONG01,CAT0003,BR0002,,,,,,,
GV00019,Nước tương Mai Dũng 250ml,TUONG02,CAT0003,BR0005,,,,,,,
GV00020,Nước tương 500ML Âu Lạc,TUONG02,CAT0003,BR0002,,,,,,,
GV00021,Tương hột can 5lít,TUONG02,CAT0003,,,,,,,,
GV00022,Bột canh rau củ quả 180g,,CAT0003,,,,,,,,
GV00023,Dầu hào âu lạc 250ml,,CAT0003,BR0002,,,,,,,
GV00024,Hạt nêm thanh dũng,HATNEM1,CAT0003,BR0003,,,,,,,
GV00025,Hạt nêm nutri,HATNEM1,CAT0003,,,,,,,,
GV00026,Hạt nêm rau củ nutri,HATNEM1,CAT0003,,,,,,,,
GV00027,Hạt nêm vua đầu bếp,HATNEM1,CAT0003,,,,,,,,
GV00028,Bột nêm gà âu lạc 2 500g,BOTNEM1,CAT0003,BR0002,,,,,,,
GV00029,Bột nêm gà loại 1 âu lạc,BOTNEM1,CAT0003,BR0002,,,,,,,
AL00001,Thanh năng lượng socola âu lạc 120g,THANHNL,CAT0004,BR0002,,,,,,,
AL00002,Thanh năng lượng truyền thống âu lạc 100g,THANHNL,CAT0004,BR0002,,,,,,,
AL00003,Thanh năng lượng đậu phộng âu lạc 120g,THANHNL,CAT0004,BR0002,,,,,,,
AL00004,Lẩu chao âu lạc 850g,LAU0001,CAT0004,BR0002,,,,,,,
AL00005,Lẩu TomYum 850,LAU0001,CAT0004,,,,,,,,
AL00006,Lẩu Kimchi 850 Âu Lạc,LAU0001,CAT0004,BR0002,,,,,,,
AL00007,Lẩu thái chay Âu Lạc 850g,LAU0001,CAT0004,BR0002,,,,,,,
AL00008,Lẩu dê Âu Lạc,LAU0001,CAT0004,BR0002,,,,,,,
AL00009,Chà bông thịt sợi Âu Lạc 500g,CBONG01,CAT0004,BR0002,,,,,,,
AL00010,Chà bông chay 100g,CBONG01,CAT0004,,,,,,,,
AL00011,Cá lóc kho tiêu chay thường chiếu,CALOC01,CAT0004,BR0008,,,,,,,
AL00012,Cá lóc chay kho tiêu thuận phát,CALOC01,CAT0004,BR0010,,,,,,,
AL00013,Nấm sấy tứ xuyên,,CAT0004,,,,,,,,
AL00014,Phở bò chay âu lạc,,CAT0004,BR0002,,,,,,,
AL00015,Pate chay âu lạc 130g,,CAT0004,BR0002,,,,,,,
AL00016,Xíu mại chay âu lạc,,CAT0004,BR0002,,,,,,,
AL00017,Mì trộn tomyom âu lạc,,CAT0004,BR0002,,,,,,,
AL00018,Gạo lứt rong biển,,CAT0004,,,,,,,,
AL00019,Tôm rim khô chay,,CAT0004,,,,,,,,
AL00020,Chả bò lon,,CAT0004,,,,,,,,
AL00021,Mề chay Âu Lạc,,CAT0004,BR0002,,,,,,,
AL00022,Khô mực miếng,,CAT0004,,,,,,,,
AL00023,Thịt kho tiêu ánh dương,,CAT0004,,,,,,,,
AL00024,Thịt kho tàu Âu Lạc,,CAT0004,BR0002,,,,,,,
AL00025,Thịt kho hột vịt Âu Lạc,,CAT0004,BR0002,,,,,,,
AL00026,Gà kho sả chay thường chiếu,,CAT0004,BR0008,,,,,,,
AL00027,Xúc xích tiệt trùng âu lạc 150g,,CAT0004,BR0002,,,,,,,
AL00028,Sườn cốt lếch chay thuận phát,,CAT0004,BR0010,,,,,,,
AL00029,Thịt vịt chay kho gừng thuận phát,,CAT0004,BR0010,,,,,,,
AL00030,Cá cơm chay tài thịnh,,CAT0004,,,,,,,,
AL00031,Cá mòi chay âu lạc,,CAT0004,BR0002,,,,,,,
AL00032,Cá trê chay kho tiêu thuận phát,,CAT0004,BR0010,,,,,,,
AL00033,Canh rong biển đậu hủ nấm,,CAT0004,,,,,,,,
AL00034,bóng cá VLQ,,CAT0004,BR0001,,,,,,,
AL00035,khô cá tra,,CAT0004,,,,,,,,
AL00036,Tương Hột kho sả Thường chiếu,,CAT0004,BR0008,,,,,,,
AL00037,Đậu phụng tỏi ớt,,CAT0004,,,,,,,,
AL00038,Bò kho chay âu lạc 150g,,CAT0004,BR0002,,,,,,,
AL00039,Rong biển sấy khô,,CAT0004,,,,,,,,
AL00040,Thịt dê chay thuận phát,,CAT0004,BR0010,,,,,,,
AL00041,Pate chay phương loan,,CAT0004,,,,,,,,
AL00042,Nem nướng chay thuận phát,,CAT0004,BR0010,,,,,,,
AL00043,Thịt nạc kho tiêu Thuận Phát,,CAT0004,BR0010,,,,,,,
AL00044,Cá thu chay kho tiêu Thuận Phát,,CAT0004,BR0010,,,,,,,
AL00045,Mắm chưng âu lạc,,CAT0004,BR0002,,,,,,,
AL00046,Thịt ba rọi Âu lạc,,CAT0004,BR0002,,,,,,,
AL00047,Cá mòi kim chi,,CAT0004,,,,,,,,
AL00048,Cá bóng kèo chay kho tiêu thuận phát,,CAT0004,BR0010,,,,,,,
AL00049,Hamburger chay thuận phát,,CAT0004,BR0010,,,,,,,
AL00050,Gan chay âu lạc,,CAT0004,BR0002,,,,,,,
AL00051,Sữa yến mạch Âu Lạc,,CAT0004,BR0002,,,,,,,
AL00052,Hủ tíu nam vang âu lạc,,CAT0004,BR0002,,,,,,,
